username,firstname,lastname,password,userType,status
georgep,George P.,Burdell,111111111,"Employee, Customer",Approved
calcwizard,Issac,Newton,222222222,Customer,Approved
calcultron,Dwight,Schrute,333333333,"Employee, Customer",Approved
calcultron2,Jim,Halpert,444444444,Customer,Approved
gdanger,Gary,Danger,555555555,User,Declined
imbatman,Bruce,Wayne,666666666,Employee,Approved
imready,Spongebob,Squarepants,777777777,Customer,Approved
isthisthekrustykrab,Patrick,Star,888888888,Customer,Approved
clarinetbeast,Squidward,Tentacles,999999999,Customer,Declined
texasStarKarate,Sandy,Cheeks,111111110,User,Declined
fullMetal,Edward,Elric,111111100,Customer,Approved
notFullMetal,Alphonse,Elric,111111100,Customer,Approved
ilikemoney$$,Eugene,Krabs,111111110,Customer,Approved
eeqmcsquare,Albert,Einstein,111111110,Customer,Approved
theScienceGuy,Bill,Nye,999999999,Customer,Approved
entropyRox,Claude,Shannon,999999999,"Employee, Customer",Approved
fatherAI,Alan,Turing,222222222,Employee,Approved
cool_class4400,A. TA,Washere,333333333,"Employee, Customer",Approved
thePiGuy3.14,Archimedes,Syracuse,1111111111,Customer,Approved
does2Much,Carl,Gauss,1212121212,Customer,Approved
programerAAL,Ada,Lovelace,3131313131,Customer,Approved
radioactivePoRa,Marie,Curie,1313131313,Employee,Approved
DNAhelix,Rosalind,Franklin,777777777,Customer,Approved
ghcghc,Grace,Hopper,666666666,Employee,Approved
RitzLover28,Abby,Normal,444444444,Customer,Approved
smith_j,John,Smith,333333333,User,Pending
manager1,Manager,One,1122112211,Employee,Approved
manager2,Manager,Two,3131313131,Employee,Approved
manager3,Three,Three,8787878787,Employee,Approved
manager4,Four,Four,5755555555,Employee,Approved
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
